Path	Lines of Code
app/Http/Controllers/ArtisanController.php	58
app/Http/Controllers/Auth/ConfirmPasswordController.php	13
app/Http/Controllers/Auth/ForgotPasswordController.php	8
app/Http/Controllers/Auth/LoginController.php	14
app/Http/Controllers/Auth/RegisterController.php	32
app/Http/Controllers/Auth/ResetPasswordController.php	9
app/Http/Controllers/Auth/VerificationController.php	15
app/Http/Controllers/AuthController.php	46
app/Http/Controllers/Controller.php	5
app/Http/Controllers/HomeController.php	27
app/Http/Controllers/MessageController.php	23
app/Http/Controllers/ProfessionController.php	12
app/Http/Controllers/ProfileController.php	51
app/Http/Controllers/SocieteArtisanController.php	34
app/Models/Artisan.php	17
app/Models/Message.php	7
app/Models/Profession.php	13
app/Models/Service.php	9
app/Models/SocieteArtisan.php	12
app/Models/User.php	23
app/Providers/AppServiceProvider.php	12
