Path	Lines of Code
database/factories/UserFactory.php	25
database/migrations/0001_01_01_000000_create_users_table.php	38
database/migrations/0001_01_01_000001_create_cache_table.php	25
database/migrations/0001_01_01_000002_create_jobs_table.php	46
database/migrations/2025_05_27_164600_create_messages_table.php	22
database/migrations/2025_06_01_152838_create_artisans_table.php	27
database/migrations/2025_06_01_152839_create_professions_table.php	21
database/migrations/2025_06_01_152840_create_services_table.php	21
database/migrations/2025_06_01_152840_create_societe_artisans_table.php	21
database/migrations/2025_06_01_215847_add_type_user_to_users_table.php	19
database/migrations/2025_06_20_095950_add_fields_to_users_table.php	21
database/migrations/2025_06_20_105730_add_updated_at_to_artisans_table.php	19
database/migrations/2025_06_20_140908_add_telephone_to_users_table.php	19
database/migrations/2025_06_20_141421_add_updated_at_to_societe_artisan_table.php	19
database/migrations/2025_06_20_141652_add_created_at_to_societe_artisan_table.php	19
database/migrations/2026_01_25_043417_create_conversations_table.php	22
database/migrations/2026_01_25_043501_create_messages_user_art_table.php	25
database/migrations/2026_01_25_050708_add_user_id_to_artisans_table.php	19
database/migrations/2026_02_06_041133_create_devis_table.php	27
database/migrations/2026_02_06_043838_fix_devis_foreign_key.php	17
database/seeders/DatabaseSeeder.php	14
