Path	Lines of Code
resources/css/app.css	9
resources/js/app.js	1
resources/sass/_variables.scss	4
resources/sass/app.scss	3
resources/views/admin/artisans.blade.php	37
resources/views/admin/artisans_edit.blade.php	86
resources/views/admin/dashboard.blade.php	158
resources/views/admin/devis/index.blade.php	88
resources/views/admin/layout.blade.php	154
resources/views/admin/messages.blade.php	41
resources/views/admin/professions.blade.php	41
resources/views/admin/professions_create.blade.php	73
resources/views/admin/professions_edit.blade.php	74
resources/views/admin/societes.blade.php	40
resources/views/admin/societes_edit.blade.php	86
resources/views/admin/users.blade.php	31
resources/views/admin/users_edit.blade.php	74
resources/views/auth/login_register.blade.php	90
resources/views/chat/inbox.blade.php	32
resources/views/chat/show.blade.php	76
resources/views/devis/client.blade.php	73
resources/views/devis/create.blade.php	29
resources/views/front/about.blade.php	122
resources/views/front/art_ind.blade.php	143
resources/views/front/art_soc.blade.php	136
resources/views/front/contact.blade.php	133
resources/views/front/profile.blade.php	143
resources/views/front/profile_edit.blade.php	88
resources/views/front/service.blade.php	80
resources/views/home.blade.php	20
resources/views/index.blade.php	392
resources/views/layout/footer.blade.php	69
resources/views/layout/nav_bar.blade.php	68
resources/views/layout/question.blade.php	138
resources/views/layout/sendMessage.blade.php	29
resources/views/layout/topbar.blade.php	50
resources/views/layouts/app.blade.php	63
resources/views/partials/artisan_cards.blade.php	25
resources/views/partials/societe_cards.blade.php	31
resources/views/partials/societes_liste.blade.php	28
