Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		4,665
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		2,147
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		930
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		241
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		241
CONDITIONAL_COMPLEXITY_COMPONENT_APP_NEGLIGIBLE_RISK_LOC		528
CONDITIONAL_COMPLEXITY_COMPONENT_APP_LOW_RISK_LOC		36
CONDITIONAL_COMPLEXITY_COMPONENT_APP_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_APP_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_APP_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_NEGLIGIBLE_RISK_LOC		337
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATABASE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_NEGLIGIBLE_RISK_LOC		3,771
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_LOW_RISK_LOC		2,111
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_MEDIUM_RISK_LOC		930
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_HIGH_RISK_LOC		241
CONDITIONAL_COMPLEXITY_COMPONENT_PUBLIC_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_NEGLIGIBLE_RISK_LOC		9
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_NEGLIGIBLE_RISK_LOC		9
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		11
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_NEGLIGIBLE_RISK_LOC		883
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_LOW_RISK_LOC		36
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		3,782
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		2,111
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		930
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		241
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
