Path	Lines of Code
public/lib/isotope/isotope.pkgd.js	2193
public/lib/owlcarousel/owl.carousel.js	2420
vendor/composer/semver/src/Constraint/MultiConstraint.php	195
vendor/dflydev/dot-access-data/src/Data.php	145
vendor/fakerphp/faker/src/Faker/ORM/CakePHP/EntityPopulator.php	122
vendor/fakerphp/faker/src/Faker/Provider/Base.php	332
vendor/fakerphp/faker/src/Faker/Provider/kk_KZ/Address.php	90
vendor/google/protobuf/src/Google/Protobuf/Internal/FieldDescriptor.php	244
vendor/google/protobuf/src/Google/Protobuf/Internal/Message.php	1772
vendor/guzzlehttp/guzzle/src/Client.php	274
vendor/hamcrest/hamcrest-php/hamcrest/Hamcrest/Arrays/IsArray.php	77
vendor/larastan/larastan/src/Collectors/UsedViewFunctionCollector.php	34
vendor/larastan/larastan/src/Properties/SquashedMigrationHelper.php	89
vendor/larastan/larastan/src/Rules/NoModelMakeRule.php	62
vendor/league/commonmark/src/Delimiter/DelimiterStack.php	244
vendor/league/commonmark/src/Extension/CommonMark/Node/Block/ListBlock.php	31
vendor/league/commonmark/src/Extension/CommonMark/Parser/Block/ListBlockStartParser.php	102
vendor/league/commonmark/src/Parser/Block/DocumentBlockParser.php	50
vendor/nesbot/carbon/src/Carbon/Lang/ar_Shakl.php	74
vendor/nikic/php-parser/lib/PhpParser/Comment.php	92
vendor/nikic/php-parser/lib/PhpParser/Internal/TokenStream.php	161
vendor/nikic/php-parser/lib/PhpParser/PrettyPrinterAbstract.php	1115
vendor/nunomaduro/collision/src/Adapters/Phpunit/State.php	156
vendor/nunomaduro/collision/src/Adapters/Phpunit/Style.php	401
vendor/nunomaduro/collision/src/Adapters/Phpunit/TestResult.php	218
vendor/nunomaduro/larastan/src/Collectors/UsedViewFunctionCollector.php	34
vendor/nunomaduro/larastan/src/Properties/SquashedMigrationHelper.php	89
vendor/nunomaduro/larastan/src/Rules/NoModelMakeRule.php	62
vendor/open-telemetry/api/Instrumentation/AutoInstrumentation/ExtensionHookManager.php	37
vendor/open-telemetry/sdk/Metrics/MeterProviderFactory.php	62
vendor/open-telemetry/sdk/Trace/SpanBuilder.php	139
vendor/symfony/http-kernel/HttpCache/HttpCache.php	403
vendor/symfony/http-kernel/HttpCache/Store.php	288
vendor/symfony/mime/Header/ParameterizedHeader.php	109
vendor/symfony/translation/Loader/PoFileLoader.php	69
