Path	Lines of Code
vendor/google/protobuf/src/GPBMetadata/Google/Protobuf/Any.php	16
vendor/google/protobuf/src/GPBMetadata/Google/Protobuf/Duration.php	16
vendor/google/protobuf/src/GPBMetadata/Google/Protobuf/FieldMask.php	16
vendor/google/protobuf/src/GPBMetadata/Google/Protobuf/GPBEmpty.php	16
vendor/google/protobuf/src/GPBMetadata/Google/Protobuf/Internal/Descriptor.php	391
vendor/google/protobuf/src/GPBMetadata/Google/Protobuf/SourceContext.php	16
vendor/google/protobuf/src/GPBMetadata/Google/Protobuf/Timestamp.php	16
vendor/google/protobuf/src/GPBMetadata/Google/Protobuf/Wrappers.php	16
vendor/google/protobuf/src/Google/Protobuf/Any.php	34
vendor/google/protobuf/src/Google/Protobuf/Api.php	108
vendor/google/protobuf/src/Google/Protobuf/BoolValue.php	23
vendor/google/protobuf/src/Google/Protobuf/BytesValue.php	23
vendor/google/protobuf/src/Google/Protobuf/DoubleValue.php	23
vendor/google/protobuf/src/Google/Protobuf/Duration.php	34
vendor/google/protobuf/src/Google/Protobuf/Enum.php	86
vendor/google/protobuf/src/Google/Protobuf/EnumValue.php	45
vendor/google/protobuf/src/Google/Protobuf/Field.php	122
vendor/google/protobuf/src/Google/Protobuf/Field/Cardinality.php	33
vendor/google/protobuf/src/Google/Protobuf/Field/Kind.php	63
vendor/google/protobuf/src/Google/Protobuf/FieldMask.php	23
vendor/google/protobuf/src/Google/Protobuf/Field_Cardinality.php	7
vendor/google/protobuf/src/Google/Protobuf/Field_Kind.php	7
vendor/google/protobuf/src/Google/Protobuf/FloatValue.php	23
vendor/google/protobuf/src/Google/Protobuf/GPBEmpty.php	12
vendor/google/protobuf/src/Google/Protobuf/Int32Value.php	23
vendor/google/protobuf/src/Google/Protobuf/Int64Value.php	23
vendor/google/protobuf/src/Google/Protobuf/Internal/DescriptorProto.php	159
vendor/google/protobuf/src/Google/Protobuf/Internal/DescriptorProto/ExtensionRange.php	71
vendor/google/protobuf/src/Google/Protobuf/Internal/DescriptorProto/ReservedRange.php	52
vendor/google/protobuf/src/Google/Protobuf/Internal/Edition.php	51
vendor/google/protobuf/src/Google/Protobuf/Internal/EnumDescriptorProto.php	104
vendor/google/protobuf/src/Google/Protobuf/Internal/EnumDescriptorProto/EnumReservedRange.php	52
vendor/google/protobuf/src/Google/Protobuf/Internal/EnumOptions.php	109
vendor/google/protobuf/src/Google/Protobuf/Internal/EnumValueDescriptorProto.php	71
vendor/google/protobuf/src/Google/Protobuf/Internal/EnumValueOptions.php	101
