Metric		Current
TOTAL_NUMBER_OF_FILES		10,728
NUMBER_OF_FILES_MAIN		8,423
LINES_OF_CODE_MAIN		580,821
NUMBER_OF_FILES_MAIN_EXT_PHP		8,228
LINES_OF_CODE_MAIN_EXT_PHP		548,732
NUMBER_OF_FILES_MAIN_EXT_JS		42
LINES_OF_CODE_MAIN_EXT_JS		10,465
NUMBER_OF_FILES_MAIN_EXT_XSD		24
LINES_OF_CODE_MAIN_EXT_XSD		9,084
NUMBER_OF_FILES_MAIN_EXT_VUE		66
LINES_OF_CODE_MAIN_EXT_VUE		5,679
NUMBER_OF_FILES_MAIN_EXT_CSS		22
LINES_OF_CODE_MAIN_EXT_CSS		3,858
NUMBER_OF_FILES_MAIN_EXT_SCSS		12
LINES_OF_CODE_MAIN_EXT_SCSS		1,518
NUMBER_OF_FILES_MAIN_EXT_HTML		1
LINES_OF_CODE_MAIN_EXT_HTML		457
NUMBER_OF_FILES_MAIN_EXT_TPL		11
LINES_OF_CODE_MAIN_EXT_TPL		330
NUMBER_OF_FILES_MAIN_EXT_LESS		2
LINES_OF_CODE_MAIN_EXT_LESS		239
NUMBER_OF_FILES_MAIN_EXT_XML		5
LINES_OF_CODE_MAIN_EXT_XML		143
NUMBER_OF_FILES_MAIN_EXT_SQL		2
LINES_OF_CODE_MAIN_EXT_SQL		113
NUMBER_OF_FILES_MAIN_EXT_BASH		1
LINES_OF_CODE_MAIN_EXT_BASH		71
NUMBER_OF_FILES_MAIN_EXT_ZSH		1
LINES_OF_CODE_MAIN_EXT_ZSH		47
NUMBER_OF_FILES_MAIN_EXT_JSX		1
LINES_OF_CODE_MAIN_EXT_JSX		25
NUMBER_OF_FILES_MAIN_EXT_FISH		1
LINES_OF_CODE_MAIN_EXT_FISH		19
NUMBER_OF_FILES_MAIN_EXT_ASC		1
LINES_OF_CODE_MAIN_EXT_ASC		15
NUMBER_OF_FILES_MAIN_EXT_YAML		1
LINES_OF_CODE_MAIN_EXT_YAML		11
NUMBER_OF_FILES_MAIN_EXT_RB		1
LINES_OF_CODE_MAIN_EXT_RB		8
NUMBER_OF_FILES_MAIN_EXT_H		1
LINES_OF_CODE_MAIN_EXT_H		7
NUMBER_OF_FILES_TEST		260
LINES_OF_CODE_TEST		10,627
NUMBER_OF_FILES_TEST_EXT_PHP		255
LINES_OF_CODE_TEST_EXT_PHP		10,445
NUMBER_OF_FILES_TEST_EXT_EML		4
LINES_OF_CODE_TEST_EXT_EML		178
NUMBER_OF_FILES_TEST_EXT_TPL		1
LINES_OF_CODE_TEST_EXT_TPL		4
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		1.82
NUMBER_OF_FILES_GENERATED		499
LINES_OF_CODE_GENERATED		50,965
NUMBER_OF_FILES_GENERATED_EXT_PHP		498
LINES_OF_CODE_GENERATED_EXT_PHP		48,668
NUMBER_OF_FILES_GENERATED_EXT_JSON		1
LINES_OF_CODE_GENERATED_EXT_JSON		2,297
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		6
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		99
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT_EXT_JS		2
LINES_OF_CODE_BUILD_AND_DEPLOYMENT_EXT_JS		59
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT_EXT_GITIGNORE		1
LINES_OF_CODE_BUILD_AND_DEPLOYMENT_EXT_GITIGNORE		23
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT_EXT_GITATTRIBUTES		1
LINES_OF_CODE_BUILD_AND_DEPLOYMENT_EXT_GITATTRIBUTES		9
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT_EXT_SH		2
LINES_OF_CODE_BUILD_AND_DEPLOYMENT_EXT_SH		8
NUMBER_OF_FILES_OTHER		499
LINES_OF_CODE_OTHER		35,743
NUMBER_OF_FILES_OTHER_EXT_MD		284
LINES_OF_CODE_OTHER_EXT_MD		20,450
NUMBER_OF_FILES_OTHER_EXT_JSON		182
LINES_OF_CODE_OTHER_EXT_JSON		14,768
NUMBER_OF_FILES_OTHER_EXT_SVG		13
LINES_OF_CODE_OTHER_EXT_SVG		256
NUMBER_OF_FILES_OTHER_EXT_TXT		13
LINES_OF_CODE_OTHER_EXT_TXT		219
NUMBER_OF_FILES_OTHER_EXT_INI		6
LINES_OF_CODE_OTHER_EXT_INI		36
NUMBER_OF_FILES_OTHER_EXT_EDITORCONFIG		1
LINES_OF_CODE_OTHER_EXT_EDITORCONFIG		14
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED		8,423
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED		580,821
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_PHP		8,228
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_PHP		548,732
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_JS		42
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_JS		10,465
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_XSD		24
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_XSD		9,084
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_VUE		66
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_VUE		5,679
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_CSS		22
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_CSS		3,858
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_SCSS		12
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_SCSS		1,518
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_HTML		457
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_TPL		11
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_TPL		330
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_LESS		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_LESS		239
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_XML		5
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_XML		143
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_SQL		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_SQL		113
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_BASH		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_BASH		71
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_ZSH		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_ZSH		47
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_JSX		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_JSX		25
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_FISH		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_FISH		19
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_ASC		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_ASC		15
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_YAML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_YAML		11
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_RB		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_RB		8
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_UNCLASSIFIED_EXT_H		1
