Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		245,736
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		47,205
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		32,863
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		9,761
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		6,252
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		16,013
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_NEGLIGIBLE_RISK_LOC		245,736
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_LOW_RISK_LOC		47,205
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_MEDIUM_RISK_LOC		32,863
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_HIGH_RISK_LOC		9,761
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_VERY_HIGH_RISK_LOC		6,252
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_NEGLIGIBLE_RISK_LOC		241,018
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_LOW_RISK_LOC		44,917
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_MEDIUM_RISK_LOC		31,745
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_HIGH_RISK_LOC		9,206
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_VERY_HIGH_RISK_LOC		6,252
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		4,718
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		2,288
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		1,118
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		555
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
